date,SP500Returns,RIFSPFF_N.B
1/3/2014,-0.00033302,0.08
1/6/2014,-0.002514927,0.08
1/7/2014,0.006063345,0.07
1/8/2014,-0.000212232,0.07
1/9/2014,0.000348249,0.07
1/10/2014,0.00230403,0.07
1/13/2014,-0.012655966,0.07
1/14/2014,0.010759876,0.07
1/15/2014,0.005152889,0.07
1/16/2014,-0.001348028,0.07
1/17/2014,-0.003902781,0.07
1/21/2014,0.002769912,0.07
1/22/2014,0.0005747,0.07
1/23/2014,-0.008929325,0.07
1/24/2014,-0.021096421,0.07
1/27/2014,-0.004888222,0.07
1/28/2014,0.006121875,0.07
1/29/2014,-0.010261704,0.07
1/30/2014,0.011204044,0.07
1/31/2014,-0.00648629,0.07
2/3/2014,-0.023096605,0.07
2/4/2014,0.007612043,0.07
2/5/2014,-0.002030282,0.07
2/6/2014,0.012363054,0.07
2/7/2014,0.013214194,0.06
2/10/2014,0.001568005,0.07
2/11/2014,0.011001376,0.06
2/12/2014,-0.000269299,0.07
2/13/2014,0.005793212,0.06
2/14/2014,0.004797689,0.06
2/18/2014,0.001157803,0.07
2/19/2014,-0.006545862,0.07
2/20/2014,0.006013342,0.07
2/21/2014,-0.001920567,0.07
2/24/2014,0.006167455,0.07
2/25/2014,-0.001348591,0.07
2/26/2014,2.17E-05,0.07
2/27/2014,0.004935881,0.07
2/28/2014,0.002778824,0.06
3/3/2014,-0.007405866,0.07
3/4/2014,0.015152323,0.07
3/5/2014,-5.34E-05,0.08
3/6/2014,0.001716933,0.08
3/7/2014,0.000537945,0.08
3/10/2014,-0.000463354,0.08
3/11/2014,-0.005095097,0.08
3/12/2014,0.000305124,0.08
3/13/2014,-0.011770092,0.08
3/14/2014,-0.002825766,0.08
3/17/2014,0.009567718,0.08
3/18/2014,0.007193682,0.08
3/19/2014,-0.006150525,0.08
3/20/2014,0.006022334,0.08
3/21/2014,-0.00293698,0.08
3/24/2014,-0.004876581,0.09
3/25/2014,0.004394271,0.09
3/26/2014,-0.007024937,0.08
3/27/2014,-0.001901892,0.08
3/28/2014,0.004629489,0.08
3/31/2014,0.007892872,0.06
4/1/2014,0.007014688,0.08
4/2/2014,0.002849263,0.09
4/3/2014,-0.001127085,0.08
4/4/2014,-0.012616543,0.08
4/7/2014,-0.010808312,0.09
4/8/2014,0.003743538,0.08
4/9/2014,0.010859039,0.08
4/10/2014,-0.021105968,0.08
4/11/2014,-0.00953206,0.09
4/14/2014,0.008183708,0.09
4/15/2014,0.006734579,0.1
4/16/2014,0.010433868,0.09
4/17/2014,0.001362924,0.09
4/21/2014,0.003768016,0.1
4/22/2014,0.004083789,0.1
4/23/2014,-0.002215767,0.1
4/24/2014,0.001715488,0.1
4/25/2014,-0.008129345,0.09
4/28/2014,0.003230812,0.09
4/29/2014,0.00474946,0.1
4/30/2014,0.00298755,0.09
5/1/2014,-0.000143271,0.09
5/2/2014,-0.001349355,0.09
5/5/2014,0.001869467,0.09
5/6/2014,-0.009029031,0.09
5/7/2014,0.005600755,0.08
5/8/2014,-0.001374569,0.08
5/9/2014,0.001518323,0.08
5/12/2014,0.009626256,0.08
5/13/2014,0.000421669,0.09
5/14/2014,-0.00471209,0.08
5/15/2014,-0.009405904,0.09
5/16/2014,0.003739962,0.09
5/19/2014,0.003837414,0.09
5/20/2014,-0.006519605,0.09
5/21/2014,0.00808334,0.09
5/22/2014,0.002359444,0.09
5/23/2014,0.004239393,0.09
5/27/2014,0.00596995,0.09
5/28/2014,-0.001114693,0.09
5/29/2014,0.005352759,0.09
5/30/2014,0.00184198,0.08
6/2/2014,0.000727562,0.09
6/3/2014,-0.000379289,0.1
6/4/2014,0.001889877,0.09
6/5/2014,0.006504082,0.09
6/6/2014,0.004617083,0.09
6/9/2014,0.000938331,0.09
6/10/2014,-0.000246014,0.09
6/11/2014,-0.003543311,0.09
6/12/2014,-0.007114139,0.09
6/13/2014,0.003129659,0.1
6/16/2014,0.000836355,0.1
6/17/2014,0.002170212,0.1
6/18/2014,0.007689243,0.1
6/19/2014,0.001276663,0.1
6/20/2014,0.001728564,0.1
6/23/2014,-0.000132473,0.1
6/24/2014,-0.006456107,0.1
6/25/2014,0.004885558,0.1
6/26/2014,-0.001179579,0.1
6/27/2014,0.001909045,0.1
6/30/2014,-0.000372326,0.09
7/1/2014,0.006655573,0.1
7/2/2014,0.000658596,0.1
7/3/2014,0.00546455,0.09
7/7/2014,-0.003931239,0.1
7/8/2014,-0.007073762,0.09
7/9/2014,0.004633516,0.09
7/10/2014,-0.004139628,0.09
7/11/2014,0.001469842,0.09
7/14/2014,0.004831861,0.09
7/15/2014,-0.001933965,0.09
7/16/2014,0.004192285,0.09
7/17/2014,-0.011904606,0.09
7/18/2014,0.010212609,0.09
7/21/2014,-0.002322947,0.1
7/22/2014,0.005003611,0.09
7/23/2014,0.001752901,0.09
7/24/2014,0.000488036,0.09
7/25/2014,-0.004860946,0.09
7/28/2014,0.000288113,0.09
7/29/2014,-0.004538068,0.09
7/30/2014,6.09E-05,0.09
7/31/2014,-0.020201932,0.08
8/1/2014,-0.002863216,0.09
8/4/2014,0.007163315,0.09
8/5/2014,-0.009732679,0.09
8/6/2014,1.56E-05,0.09
8/7/2014,-0.005572115,0.09
8/8/2014,0.011465423,0.09
8/11/2014,0.002755625,0.09
8/12/2014,-0.001637982,0.09
8/13/2014,0.006684767,0.09
8/14/2014,0.004336398,0.09
8/15/2014,-6.14E-05,0.09
8/18/2014,0.008495483,0.09
8/19/2014,0.004988191,0.09
8/20/2014,0.002474748,0.09
8/21/2014,0.002945547,0.09
8/22/2014,-0.001994575,0.09
8/25/2014,0.004776354,0.09
8/26/2014,0.001050529,0.09
8/27/2014,5.00E-05,0.09
8/28/2014,-0.001691331,0.09
8/29/2014,0.003314914,0.07
9/2/2014,-0.000544214,0.09
9/3/2014,-0.000779444,0.09
9/4/2014,-0.0015356,0.09
9/5/2014,0.005023248,0.09
9/8/2014,-0.003077846,0.09
9/9/2014,-0.006566522,0.09
9/10/2014,0.003639444,0.09
9/11/2014,0.000881517,0.09
9/12/2014,-0.005980405,0.09
9/15/2014,-0.000710404,0.09
9/16/2014,0.007456507,0.09
9/17/2014,0.001294805,0.09
9/18/2014,0.004879257,0.09
9/19/2014,-0.000477384,0.09
9/22/2014,-0.008045602,0.09
9/23/2014,-0.00579325,0.09
9/24/2014,0.007801977,0.09
9/25/2014,-0.016300913,0.09
9/26/2014,0.008539261,0.09
9/29/2014,-0.002550051,0.08
9/30/2014,-0.002789817,0.07
10/1/2014,-0.013337106,0.09
10/2/2014,5.14E-06,0.09
10/3/2014,0.011103635,0.09
10/6/2014,-0.001566386,0.09
10/7/2014,-0.015241618,0.09
10/8/2014,0.017310947,0.09
10/9/2014,-0.020877849,0.08
10/10/2014,-0.01151708,0.09
10/14/2014,0.00157762,0.09
10/15/2014,-0.008133301,0.09
10/16/2014,0.000144967,0.09
10/17/2014,0.012801813,0.09
10/20/2014,0.009101116,0.09
10/21/2014,0.019385371,0.09
10/22/2014,-0.007326101,0.09
10/23/2014,0.012228306,0.09
10/24/2014,0.00702869,0.09
10/27/2014,-0.001502697,0.09
10/28/2014,0.011868365,0.09
10/29/2014,-0.001386316,0.09
10/30/2014,0.006210797,0.09
10/31/2014,0.011663115,0.07
11/3/2014,-0.000118929,0.09
11/4/2014,-0.002833853,0.1
11/5/2014,0.005684311,0.09
11/6/2014,0.003768404,0.09
11/7/2014,0.000349525,0.09
11/10/2014,0.003115327,0.09
11/11/2014,0.000696452,0.09
11/12/2014,-0.000701363,0.09
11/13/2014,0.000529704,0.09
11/14/2014,0.000240241,0.09
11/17/2014,0.000735089,0.1
11/18/2014,0.00512085,0.11
11/19/2014,-0.001502287,0.1
11/20/2014,0.001965164,0.1
11/21/2014,0.005223213,0.1
11/24/2014,0.00285993,0.1
11/25/2014,-0.001150692,0.1
11/26/2014,0.002802053,0.1
11/28/2014,-0.002545664,0.08
12/1/2014,-0.00685279,0.13
12/2/2014,0.006364167,0.12
12/3/2014,0.003757674,0.12
12/4/2014,-0.001162572,0.12
12/5/2014,0.001663831,0.12
12/8/2014,-0.007283022,0.12
12/9/2014,-0.000237852,0.12
12/10/2014,-0.016486121,0.12
12/11/2014,0.004525434,0.12
12/12/2014,-0.016346466,0.12
12/15/2014,-0.006362786,0.11
12/16/2014,-0.00852526,0.12
12/17/2014,0.020148074,0.13
12/18/2014,0.023731374,0.13
12/19/2014,0.004559638,0.13
12/22/2014,0.003803223,0.13
12/23/2014,0.001744839,0.13
12/24/2014,-0.000139306,0.13
12/26/2014,0.00330411,0.13
12/29/2014,0.000861403,0.13
12/30/2014,-0.004900593,0.13
12/31/2014,-0.010364384,0.06
