"","USD.JPY"
"1",117.017
"2",117.017
"3",117.6795
"4",117.684
"5",116.2885
"6",116.134
"7",116.9855
"8",116.985
"9",116.8785
"10",115.8135
"11",115.963
"12",114.5175
"13",114.7965
"14",114.5205
"15",114.52
"16",114.1715
"17",113.442
"18",113.243
"19",114.805
"20",114.8795
"21",114.5835
"22",114.585
"23",113.5565
"24",113.178
"25",113.635
"26",113.873
"27",114.9775
"28",115.0935
"29",115.094
"30",114.409
"31",113.3785
"32",113.241
"33",112.7285
"34",112.88
"35",112.594
"36",112.593
"37",112.387
"38",112.0515
"39",112.168
"40",112.428
"41",113.5335
"42",113.2295
"43",113.227
"44",113.7665
"45",113.7245
"46",114.396
"47",113.7205
"48",113.1015
"49",112.7935
"50",112.79
"51",113.073
"52",113.5295
"53",113.3575
"54",113.0585
"55",112.5135
"56",112.1175
"57",112.117
"58",112.2565
"59",112.3595
"60",113.471235
"61",114.18992
"62",114.314755
"63",114.0033
"64",114.005
"65",113.84572
"66",113.962915
"67",114.100385
"68",114.622465
"69",115.17765
"70",114.8001
"71",114.79334
"72",114.725355
"73",114.85086
"74",114.565965
"75",113.32564
"76",113.14068
"77",112.709
"78",112.709
"79",112.64603
"80",112.412715
"81",111.3532
"82",111.166145
"83",111.137925
"84",111.321
"85",111.32
"86",110.42753
"87",110.64997
"88",111.07612
"89",111.271205
"90",111.7566
"91",111.3875
"92",111.3875
"93",111.260255
"94",110.61103
"95",110.88202
"96",110.67848
"97",110.754715
"98",111.0705
"99",111.0715
"100",111.231665
"101",110.405215
"102",109.56956
"103",109.037855
"104",108.888405
"105",108.646
"106",108.646
"107",108.46025
"108",108.83178
"109",108.759235
"110",109.069065
"111",109.188875
"112",109.067
"113",109.067
"114",110.035245
"115",110.404555
"116",111.305685
"117",111.26341
"118",111.33249
"119",111.52
"120",111.52
"121",111.661685
"122",112.040755
"123",112.220245
"124",112.73187
"125",112.47879
"126",112.688
"127",112.688
"128",112.790735
"129",113.677205
"130",113.935565
"131",114.062045
"132",113.61482
"133",113.3375
"134",113.3375
"135",113.490495
"136",113.433605
"137",112.112625
"138",111.00774
"139",111.363915
"140",111.227
"141",111.227
"142",111.31554
"143",111.26904
"144",111.845925
"145",111.72058
"146",111.37859
"147",111.304
"148",111.304
"149",111.31637
"150",110.95863
"151",110.83539
"152",111.10604
"153",111.170505
"154",110.395
"155",110.395
"156",110.51212
"157",109.724135
"158",109.472715
"159",109.94287
"160",110.30693
"161",110.333
"162",110.333
"163",110.06306
"164",110.032305
"165",109.83271
"166",110.02532
"167",111.049665
"168",110.89
"169",110.89
"170",111.14612
"171",111.58182
"172",111.35018
"173",111.22264
"174",111.281675
"175",111.299
"176",111.299
"177",111.49063
"178",111.94435
"179",112.17712
